date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:04	172/172	---M--	200	added ('OK')	text/plain	date:Wed,%2017%20Jul%202024%2011:59:50%20GMT	https://qualitybio.in/robots.txt		(from )
22:19:06	91973/91973	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2016:49:05%20GMT	https://qualitybio.in/	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/index.html	(from )
22:19:07	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2001%20Oct%202024%2016:49:08%20GMT	https://qualitybio.in/xmlrpc.php	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/xmlrpc.0.delayed	(from https://qualitybio.in/)
22:19:07	22659/22659	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Mar%202024%2018:06:42%20GMT	https://qualitybio.in/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.8.4	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/wp-content/plugins/LayerSlider/static/layerslider/css/layerslidercc6a.css	(from https://qualitybio.in/)
22:19:07	112427/112427	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202024%2018:22:40%20GMT	https://qualitybio.in/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/wp-includes/css/dist/block-library/style.min109c.css	(from https://qualitybio.in/)
22:19:07	2894/2894	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2009:39:30%20GMT	https://qualitybio.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.7	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/wp-content/plugins/contact-form-7/includes/css/styles1014.css	(from https://qualitybio.in/)
22:19:07	56049/56049	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Mar%202024%2018:06:44%20GMT	https://qualitybio.in/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.0.9	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/wp-content/plugins/revslider/public/assets/css/rs6bfbf.css	(from https://qualitybio.in/)
22:19:08	11256/11256	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://qualitybio.in/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://qualitybio.in/)
22:19:08	1043/1043	---MC-	200	added ('OK')	application/rss+xml	etag:%2227b5eab7fea0ed2b0a7b9880b7066f0d%22	https://qualitybio.in/feed/	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/feed/index.html	(from https://qualitybio.in/)
22:19:08	4186/4186	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://qualitybio.in/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.6.2	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/wp-includes/js/mediaelement/wp-mediaelement.min109c.css	(from https://qualitybio.in/)
22:19:09	717/717	---MC-	200	added ('OK')	application/rss+xml	etag:%2227b5eab7fea0ed2b0a7b9880b7066f0d%22	https://qualitybio.in/comments/feed/	C:/Users/mitta/Downloads/Biofuel%20Website/qualitybio.in/comments/feed/index.html	(from https://qualitybio.in/)
